관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면정보,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 산정동 1116,광산구 목련로22번길 11,1,200만,360도,30일,2018,35.17248818,126.8003595,2023-06-30
광주광역시 사회재난과,광산구 산정동 1117,광산구 목련로22번길 31,2,200만,360도,30일,2022,35.17059063,126.8002238,2023-06-30
광주광역시 사회재난과,광산구 산정동 882-21,,1,200만,360도,30일,2010,35.16422952,126.7995728,2023-06-30
광주광역시 사회재난과,광산구 산정동 882-21,,1,200만,360도,30일,2022,35.16422952,126.7995728,2023-06-30
광주광역시 사회재난과,광산구 산정동 936-5,광산구 산정공원로 71,4,200만,360도,30일,2020,35.173834,126.8063179,2023-06-30
광주광역시 사회재난과,광산구 산정동 964-7,광산구 산정로17번길 10,1,200만,360도,30일,2010,35.16828831,126.8030705,2023-06-30
광주광역시 사회재난과,광산구 산정동 964-7,광산구 산정로17번길 10,1,200만,360도,30일,2020,35.16828831,126.8030705,2023-06-30
광주광역시 사회재난과,광산구 산정동 960-14,광산구 산정로 34,1,200만,360도,30일,2013,35.16964969,126.8040169,2023-06-30
광주광역시 사회재난과,광산구 산정동 960-14,광산구 산정로 34,1,200만,360도,30일,2018,35.16964969,126.8040169,2023-06-30
광주광역시 사회재난과,광산구 산정동 960-14,광산구 산정로 34,1,200만,360도,30일,2022,35.16964969,126.8040169,2023-06-30
광주광역시 사회재난과,광산구 삼거동 438-4,,1,200만,360도,30일,2013,35.163659,126.674396,2023-06-30
광주광역시 사회재난과,광산구 삼거동 438-4,,1,200만,360도,30일,2022,35.163659,126.674396,2023-06-30
광주광역시 사회재난과,광산구 선암동 694,광산구 선운로2번길 35,2,200만,360도,30일,2022,35.1463688,126.7731579,2023-06-30
광주광역시 사회재난과,광산구 선암동 694,광산구 선운로2번길 35,2,200만,360도,30일,2022,35.1463688,126.7731579,2023-06-30
광주광역시 사회재난과,광산구 선암동 791,광산구 선운로 1,2,200만,360도,30일,2022,35.14811821,126.7695745,2023-06-30
광주광역시 사회재난과,광산구 선암동 791,광산구 선운로 1,1,200만,360도,30일,2022,35.14811821,126.7695745,2023-06-30
광주광역시 사회재난과,광산구 선암동 70-1,광산구 어등대로648번길 146,2,200만,360도,30일,2022,35.144748,126.781455,2023-06-30
광주광역시 사회재난과,광산구 소촌동 304-2,,2,200만,360도,30일,2013,35.14760455,126.7973492,2023-06-30
광주광역시 사회재난과,광산구 소촌동 304-2,,1,200만,360도,30일,2018,35.14760455,126.7973492,2023-06-30
광주광역시 사회재난과,광산구 소촌동 506-8,광산구 송정공원로23번길 1,1,200만,360도,30일,2010,35.14569823,126.79879,2023-06-30
광주광역시 사회재난과,광산구 소촌동 506-8,광산구 송정공원로23번길 1,1,200만,360도,30일,2022,35.14569823,126.79879,2023-06-30
광주광역시 사회재난과,광산구 소촌동 538-4,광산구 어등대로647번길 30-15,2,200만,360도,30일,2010,35.14399315,126.7936154,2023-06-30
